Key,japanese
VaultMetalDoorSmallLockedDesc,小さなボルト・ドア
Bookcase1,本棚
Bookcase1Desc,古い本棚
Bookcase2,本棚
Bookcase2Desc,古い本棚
Bookcase3,本棚
Bookcase3Desc,古い本棚
BottleCarrierEmpty,ボトルケース
BottleCarrierEmptyDesc,瓶を持ち運ぶためのクレート
BottleCarrier,ボトルケース
BottleCarrierDesc,瓶を持ち運ぶためのクレート
Boxes1,古い箱
Boxes1Desc,古くなった箱。
Boxes2,古い箱
Boxes2Desc,古くなった箱。
Boxes3,古い箱
Boxes3Desc,古くなった箱。
Boxes4,古い箱
Boxes4Desc,古くなった箱。
Boxes5,古い箱
Boxes5Desc,古くなった箱。
Boxes6,古い箱
Boxes6Desc,古くなった箱。
Boxes7,古い箱
Boxes7Desc,古くなった箱。
Bunkbed1,古い二段ベッド
Bunkbed1Desc,古い二段ベッド
Case1,ケース
Case1Desc,ケース
Case2,ケース
Case2Desc,ケース
Chair1,古びた椅子
Chair1Desc,古びた椅子
Chair2,古びたレトロ椅子
Chair2Desc,古びた椅子
Cistern1,貯水槽
Cistern1Desc,貯水槽
Curtain1,古いカーテン
Curtain1Desc,古いカーテン
Desk1,古い机
Desk1Desc,古い机
Dresser1,古いタンス
Dresser1Desc,古いタンス
Dresser2,古いタンス
Dresser2Desc,古いタンス
Dresser3,古いタンス
Dresser3Desc,古いタンス
Fatman_b,ニューク・ランチャー
Fatman_bDesc,拾うとニューク・ランチャーが入手出来ます。
ammoNuke_b,ニューク弾
ammoNuke_bDesc,拾うとニューク弾が入手出来ます。
Guitar1,古いギター
Guitar1Desc,古びたギター
IndustrialFan,工業用ファン
IndustrialFanDesc,大きな工業用ファン。
Lamp1,古いランプ
Lamp1Desc,古いランプ
MetalBox,金属製の箱
MetalBoxDesc,古びた金属製の箱
MetalBox2,金属製の箱
MetalBox2Desc,古びた金属製の箱
MetalContainer,金属製の箱
MetalContainerDesc,古びた金属製の箱
MetalContainer2,金属製の箱
MetalContainer2Desc,古びた金属製の箱
MetalContainer3,金属製のコンテナ
MetalContainer3Desc,古びた金属製のコンテナ
MetalContainer4,金属製のコンテナ
MetalContainer4Desc,古びた金属製のコンテナ
MetalShelves,金属製の棚
MetalShelvesDesc,古びた金属製の棚
MetalShelves2,金属製の棚
MetalShelves2Desc,古びた金属製の棚
NCRbobble,NCR首振り人形
NCRbobbleDesc,古い首振り人形。\n\n売れるかもしれません。
OldRadio,古いラジオ
OldRadioDesc,古いラジオ。\n\n壊れているようです。
OldSafeClosedInsecure,古い金庫
OldSafeClosedInsecureDesc,古い金庫
OldSafeClosedPlayer,古い金庫
OldSafeClosedPlayerDesc,古い金庫
OldSafeClosed,古い金庫
OldSafeClosedDesc,古い金庫
OldSafe,古い金庫
OldSafeDesc,古い金庫
OldServer1,古いサーバー
OldServer1Desc,古いサーバー
OldServer2,古いサーバー
OldServer2Desc,古いサーバー
OldServer3,古いサーバー
OldServer3Desc,古いサーバー
OldTV,古いテレビ
OldTVDesc,古いテレビ
OldTVon,古いテレビ
OldTVonDesc,古いテレビ
PipBoy,Pip-Boy 3000
PipBoyDesc,驚く事にまだ使用可能なPip-Boy。
Rug1,古いラグマット
Rug1Desc,古いラグマット
Server1,古いサーバー
Server1Desc,古いサーバー
Server2,古いサーバー
Server2Desc,古いサーバー
Server3,古いサーバー
Server3Desc,古いサーバー
ServerEmpty,古くて空のサーバー
ServerEmptyDesc,古くて空のサーバー
ServerFull,古くて中身入りのサーバー
ServerFullDesc,古くて中身入りのサーバー
Toolbox1,古いツールボックス
Toolbox1Desc,古いツールボックス
Transformer1,古い変成器
Transformer1Desc,古い変成器
Turbine1,古いタービン
Turbine1Desc,古いタービン
VaultBoycutout,ボルト・ボーイの切り抜き
VaultBoycutoutDesc,ボルト・ボーイの切り抜き
Vent1,古い通気口
Vent1Desc,古い通気口
Vent2,古い通気口(オフセット)
Vent2Desc,古い通気口
WarehouseCrates,古い倉庫クレート
WarehouseCratesDesc,古い倉庫クレート
WeaponCase,武器ケース
WeaponCaseDesc,武器ケース
OVglass,看守ガラス
OVglassDesc,OVオフィス用のガラス。
Grid,パワーグリッド・ディスプレイ
GridDesc,OVオフィス用のパワーグリッド・ディスプレイ
DeskRound,看守の机
DeskRoundDesc,看守の机.
DeskRound2,看守の机
DeskRound2Desc,看守の机.
BloodSplatter1,血痕
BloodSplatter2,血痕
BloodSplatter3,血痕
BloodSplatter4,血痕
BloodSplatter5,血痕
BloodSplatter6,血痕
BloodSplatter7,血痕
chainLink_b,チェーンリンク・フェンス
chainLink_bDesc,通常よりローテーションが多いチェーンリンク・フェンス。
ConsoleWall,ウォール・コンソール
ConsoleWallDesc,ウォール・コンソール
Door1L,金属製の扉。(L)
Door1LDesc,重い金属製の扉。
Door1R,金属製の扉。(R)
Door1RDesc,重い金属製の扉。
Door1L2,金属製の扉。(L)
Door1L2Desc,重い金属製の扉。
Door1R2,金属製の扉。(R)
Door1R2Desc,重い金属製の扉。
Door2L,金属製の扉。(L)
Door2LDesc,重い金属製の扉。
Door2R,金属製の扉。(R)
Door2RDesc,重い金属製の扉。
Door2L2,金属製の扉。(L)
Door2L2Desc,重い金属製の扉。
Door2R2,金属製の扉。(R)
Door2R2Desc,重い金属製の扉。
Door3L,セキュリティ・ドア(L)
Door3LDesc,セキュリティレベルの高い扉。
Door3R,セキュリティ・ドア(R)
Door3RDesc,セキュリティレベルの高い扉。
Door3L2,セキュリティ・ドア(L)
Door3L2Desc,セキュリティレベルの高い扉。
Door3R2,セキュリティ・ドア(R)
Door3R2Desc,セキュリティレベルの高い扉。
Door4L,セキュリティ・ドア(L)
Door4LDesc,セキュリティレベルの高い扉。
Door4R,セキュリティ・ドア(R)
Door4RDesc,セキュリティレベルの高い扉。
Door4L2,セキュリティ・ドア(L)
Door4L2Desc,セキュリティレベルの高い扉。
Door4R2,セキュリティ・ドア(R)
Door4R2Desc,セキュリティレベルの高い扉。
EspressoMachine,エスプレッソマシン
EspressoMachineDesc,エスプレッソマシン
MedicalDivider,医療用パーテーション
MedicalDividerDesc,医療用パーテーション
MetalDrawer1,金属製引き出し
MetalDrawer1Desc,古い金属製引き出し
MetalDrawer2,金属製引き出し
MetalDrawer2Desc,古い金属製引き出し
Microscope,顕微鏡
MicroscopeDesc,顕微鏡
OldControlPanel,古いコントロールパネル
OldControlPanelDesc,古いコントロールパネル
OldProjector,古いプロジェクター
OldProjectorDesc,古いプロジェクター
Stepladder,脚立
StepladderDesc,古い脚立
WelcomeMat,玄関マット
WelcomeMatDesc,Welcomeと書いてある玄関用マット。
windowStoreThreeSidedBulletproofCTR,防弾ガラス
windowStoreThreeSidedBulletproofCTRDesc,防弾ガラス/センター/3面
windowStoreTwoSidedBulletproofCTR,防弾ガラス窓
windowStoreTwoSidedBulletproofCTRDesc,防弾ガラス窓/センター/2面
windowStoreThreeSidedCTR,窓枠
windowStoreThreeSidedCTRDesc,窓枠/センター/3面
windowStoreTwoSidedCTR,窓枠
windowStoreTwoSidedCTRDesc,窓枠/センター/2面

mineBottlecapMine,ボトルキャップ地雷
mineBottlecapMineDesc,ランチボックスとボトルキャップで出来た、手作り地雷。
cntLunchboxDesc,古くなったランチボックス。\n\n何かに使えるかもしれません。
cntLunchbox,古いランチボックス
resourceBottlecaps,ボトルキャップ
resourceBottlecapsDesc,ヌカコーラのボトルキャップ。\n\n何かに使えるかもしれません。
resourceBottlecapStar,サンセット・サルサパリラ・スター・ボトルキャップ
resourceBottlecapStarDesc,非常にレアなボトルキャップ。\n\n売るか、集めてクラフト材料にすることが出来ます。



gun10mmPistol,10mmピストル
gun10mmPistolDesc,シビリアン・ピストル。\n\n9㎜用より威力が少し高くなっています。
gun10mmRev,10mmリボルバー
gun10mmRevDesc,シビリアン・リボルバー。\n\n9㎜用より威力が少し高くなっています。\n\n10㎜ピストルよりストッピング・パワーが高い、6弾装弾可能なハンドガン。
gun10mmSMG,10mm SMG
gun10mmSMGDesc,シビリアン・サブマシンガン。\n\n9㎜用より威力が少し高くなっています。\n\n大容量マガジン。
gunLaserPistolScrap,スクラップレーザー・ピストル
gunLaserPistolScrapDesc,手作りのレーザー武器。\n\n安全そうですが．．．どうでしょう\n\n高度エンジニアリングパークの影響を受けます。
gunLaserPistol,レーザー・ピストル
gunLaserPistolDesc,実験段階の軍事技術。\n\n高度エンジニアリングパークの影響を受けます。
gunLaserRifle,レーザー・ライフル
gunLaserRifleDesc,実験段階の軍事技術。\n\n高度エンジニアリングパークの影響を受けます。
gunLaserShotgun,レーザー・ショットガン
gunLaserShotgunDesc,実験段階の軍事技術。\n\n高度エンジニアリングパークの影響を受けます。
gunPlasmaPistol,プラズマ・ピストル
gunPlasmaPistolDesc,実験段階の軍事技術。\n\n高度エンジニアリングパークの影響を受けます。
gunPlasmaRifle,プラズマ・ライフル
gunPlasmaRifleDesc,実験段階の軍事技術。\n\n高度エンジニアリングパークの影響を受けます。
gunFlareGun,フレアガン
gunFlareGunDesc,緊急用のフレアガン。\n\n緊急時に位置を知らせる場合、もしくは明かりが必要な時に使用します。
gunPipePistol,"パイプピストル"
gunPipePistolDesc,"弱い手作りピストル。\n\n9mm弾を使用します。\n\n耐久が低く、壊れると消えてしまいます。"
gunPipeRifle,"パイプライフル"
gunPipeRifleDesc,"弱い手作りライフル\n\n9mm弾を使用します。\n\n耐久が低く、壊れると消えてしまいます。"
gunPipeShotgunSMSB,"ショートパイプショットガン"
gunPipeShotgunSMSBDesc,"弱い手作りショットガン\n\n扱いにくく、射程は短くなっています。\n\n耐久が低く、壊れると消えてしまいます。"
gunPipeShotgunEMSB,"ショートパイプショットガン (拡張マガジン)"
gunPipeShotgunEMSBDesc,"手作りショットガン\n\n扱いにくく、射程は短くなっています。\n\nカスタムシリンダーマガジンを取り付けてあるため、ソウダンスウが4に増えています。\n\n耐久が低く、壊れると消えてしまいます。"
gunTripleBarrelShotgun,トリプルバレル・ショットガン
gunTripleBarrelShotgunDesc,オーダーメイドのトリプルバレル・ショットガン。
gunCombatShotgun,コンバット・ショットガン
gunCombatShotgunDesc,軍用グレードのショットガン。
gunHeavySniper,ヘビー・スナイパー・ライフル
gunHeavySniperDesc,長距離射撃用スナイパー・ライフル。
gunServiceRifle,サービス・ライフル
gunServiceRifleDesc,標準歩兵用ライフル。
gunLAR,レバー・アクション・ライフル
gunLARDesc,.44マグナム弾を使用するレバーアクション、これ以上の物は望めませんね。
gunRailwayRifle,"レールライフル"
gunRailwayRifleDesc,"レールスパイクを発射するカスタムライフル。\n\n撃つと銃に負担がかかるため、耐久は低めになっています。"
gunFatMan,"ニューク・ランチャー"
gunFatManDesc,"ミニニュークを発射するためのミリタリーランチャー。\n\n他の丸い物も発射できそうですが..."
gunIncinerator,インシネレーター
gunIncineratorDesc,改造済みの火炎放射器。\n\nセミオート火炎瓶ですね！
gunMiniG,ミニガン
gunMiniGDesc,"古くてしよう感のあるミニガン。\n\n最新の物ではありませんが、威力は充分ありそうです。"
gunBAR1,BAR
gunBAR1Desc,"古い銃。"
gunSCAR,SCAR
gunSCARDesc,"軍用アサルトライフル。"
gunm79,M-79
gunm79Desc,"40mm弾を使用する単発グレネードランチャー。\n\nAP弾、HE弾、そしてスモーク弾があります。"

ammo40mmHE,40mm HEグレネード弾
ammo40mmHEDesc,M-79で使用する40㎜榴弾。
ammo40mmSmoke,40mmスモークグレネード弾
ammo40mmSmokeDesc,M-79で使用する40㎜スモークグレネード弾。
ammo40mmAP,40mm APグレネード弾
ammo40mmAPDesc,"M-79で使用する40㎜ AP弾。\n\nブロックダメージは高くなっていますが、敵へのダメージは低くなっています。"
ammoNuke,"ニューク弾"
ammoNukeDesc,"これのせいで、こんな世界になってしまったのですから、これを使って元に戻す事は出来ないでしょうか？\n\n室内では使わないほうが良いでしょう。"
ammoNukeAP,"ニューク AP弾"
ammoNukeAPDesc,"ミニニュークでクラフトした対人用のニューク弾。\n\nブロックダメージが大変低くなっています。\n\nエンティティダメージもAOEも低めです。"
ammoBowlingball,"ボーリングボール弾"
ammoBowlingballDesc,"ニューク・ランチャーで撃つニュークが見つかりませんか？\n\nこれで代用しましょう！"
ammoRailSpike,"レールスパイク弾"
ammoRailSpikeDesc,"小さな弾薬だと物足りませんか?\n\nこの大きなスパイクを撃ってみましょう。"
ammoIncinerator,インシネレーター用燃料
ammoIncineratorDesc,インシネレーター用の弾薬。
ammoFlareGun,フレア弾
ammoFlareGunDesc,フレアガン用の弾薬。
ammo10mmBullet,10mm弾
ammo10mmBulletDesc,通常10mm弾。\n\n9㎜弾より僅かに威力が高くなっています。
ammo10mmBulletHP,HP 10mm弾
ammo10mmBulletHPDesc,HP 10mm弾。\n\nアーマー値の低い敵相手に適しています。\n\n9㎜弾より僅かに威力が高くなっています。
ammo10mmBulletAP,AP 10mm弾
ammo10mmBulletAPDesc,AP 10mm弾。\n\nアーマー値の高い敵相手に適しています。\n\n9㎜弾より僅かに威力が高くなっています。
ammoBundle10mmBullet,箱詰めされた10mm弾 (100)
ammoBundle10mmBulletHP,箱詰めされたHP 10mm弾 (100)
ammoBundle10mmBulletAP,箱詰めされたAP 10mm弾 (100)
ammo556b,5.56mm弾
ammo556bDesc,通常5.56mm弾。
ammo556bHP,HP 5.56mm弾
ammo556bHPDesc,ホローポイント5.56mm。\n\nアーマー値の低い敵に大ダメージを与えます。
ammo556bAP,AP 5.56mm弾
ammo556bAPDesc,5.56mm徹甲弾。\n\nアーマー値の高い敵に大ダメージを与えます。
ammoBundle556b,箱詰めされた5.56mm弾 (100)
ammoBundle556bHP,箱詰めされたHP 5.56mm弾 (100)
ammoBundle556bAP,箱詰めされたAP 5.56mm弾 (100)
ammoAB,エイリアン・エナジーセル弾
ammoABDesc,エイリアン・ブラスター用の弾薬。
ammoEC,エナジーセル弾
ammoECDesc,レーザー・ピストル用の弾薬。
ammoMFC,マイクロフュージョン・セル弾
ammoMFCDesc,レーザー・ライフル用の弾薬。
ammoSMFC,マイクロフュージョン・セル弾(ショットガン)
ammoSMFCDesc,レーザー・ショットガン用の弾薬。
ammoPEC,プラズマ・エナジーセル弾
ammoPECDesc,プラズマ・ピストル用の弾薬。
ammoPMFC,プラズマ・マイクロフュージョン・セル弾
ammoPMFCDesc,プラズマ・ライフル用の弾薬。
ammoCMFC,クライオ・セル弾
ammoCMFCDesc,クライオレーター用の弾薬。
thrownCryoGrenade,クライオ・グレネード
thrownCryoGrenadeDesc,"通常のグレネードほどの威力はありませんが、鈍足と弱体の効果が追加されています。\n\nフューズが短くなっています。"
thrownNukaGrenade,ヌカ・グレネード
thrownNukaGrenadeDesc,対有機物には非常に効果的です。

modFlashlight,"武器用フラッシュライト(パイプショットガンにも可)"
modFlashlightDesc,手作りのフラッシュライト・アタッチメント。
modOilFilterSuppressor,"オイルフィルターサプレッサー"
modOilFilterSuppressorDesc,"狙いにくくはなりますが、射撃音が低くなるので、外してもバレないはずです。"
modLargeMag,"拡張マガジン (パイプ銃用)"
modLargeMagDesc,"パイプ系の銃の装弾数を倍にします。"
modLongRifleBarrel,"ロングライフルバレル (パイプライフル)"
modLongRifleBarrelDesc,"ハンドリングは落ちますが、射程とダメージが上がります。\n\nパイプライフルにセット可能。"
modShotgunCylinderMag,"ショットガンシリンダーマガジン"
modShotgunCylinderMagDesc,"装弾数が 4 弾に増えるパイプショットガン用のシリンダー。"
modLongShotgunBarrel,"ロングショットガンバレル (パイプショットガン)"
modLongShotgunBarrelDesc,"ハンドリングは落ちますが、射程が伸びます。\n\nパイプショットガンにセット可能。"
modOverchargedCapacitor,オーバーチャージ・コンデンサ
modOverchargedCapacitorDesc,レーザー系の武器にセットすると装弾数とダメージ量が増えます。\n\nセットすると劣化速度が上がります。
modLaserSplitter,レーザービームスプリッター
modLaserSplitterDesc,レーザー系武器にセットすると、セル弾を2発同時に撃つことが出来るようになります。\n\nセットすると劣化速度が上がります。
modLaserFocuser,レーザービームフォーカサー
modLaserFocuserDesc,レーザー系武器にセットすると、射程とダメージ量が上がります。\n\nセットすると劣化速度が上がります。
modLaserScope,レーザーライフルスコープ
modLaserScopeDesc,レーザーライフルにセットすると、ターゲットが拡大して見えます。\n\nフォーカサーと使用すると良いです。


gunPipePistol_Legendary,"[FFC300]伝説のパイプピストル[-]"
gunPipePistol_LegendaryDesc,"レアなパイプピストル。\n\n壊れても消えません。\n\n通常のパイプピストルと比べ、ステータスが高く、最初からサイレンサーが付いています。"
gunPipeShotgunSMSB_Legendary,"[FFC300]伝説のパイプショットガン[-]"
gunPipeShotgunSMSB_LegendaryDesc,"レアなパイプショットガン。\n\n壊れても消えません。\n\n通常のパイプショットガンと比べ、ステータスが高く、命中すると敵を炎上させます。"
gunPipeRifle_Legendary,"[FFC300]伝説のパイプライフル[-]"
gunPipeRifle_LegendaryDesc,"レアなパイプライフル。\n\n壊れても消えません。\n\n通常のパイプライフルと比べ、威力が高く、最初からスコープが付いています。"
gunLAR_Legendary,[FFC300]リンカーン・リピーター[-]
gunLAR_LegendaryDesc,ユニークなレバーアクションライフル。\n\n貫通率と部位破壊率が高くなっており、 アイアンサイトに可変ズームが付いています。
gunLeFusilTerribles,[FFC300]ル・フュジ・テリブル[-]
gunLeFusilTerriblesDesc,ミリタリーティアのショットガン。
gunHeavySniperGobi,[FFC300]アリゾナキャンペーン・スカウトライフル[-]
gunHeavySniperGobiDesc,改造された長距離スナイパーライフル。
gunMaria,[FFC300]マリア[-]
gunMariaDesc,ユニークな9mmピストル。\n\n威力と部位破壊率が高くなっています。
gunPewPew,[FFC300]ピューピュー[-]
gunPewPewDesc,ユニークなレーザーピストル。\n\n威力が上がる用改造されています。
gunAERPrototype,[FFC300]AER15プロトタイプ[-]
gunAERPrototypeDesc,ユニークなレーザーライフルのプロトタイプ。\n\n威力が高く、1トリガーで5発撃つことが出来ます。\n\n腰うちの場合はショットガンに似ていますが、エイム中は1体の敵に高いダメージを与えることが出来ます。
gunCryolator,[FFC300]クライオレーター[-]
gunCryolatorDesc,ユニークな軍用プロトタイプ。\n\n敵に鈍足効果を与え、確率で完全に動きを止めることが出来ます。
gunAlienBlaster,[FFC300]エイリアンブラスター[-]
gunAlienBlasterDesc,"よく分からないけど、トリガーを引くと生き物を殺せるようです．．．"
gunAshmaker,[FFC300]アッシュメーカー[-]
gunAshmakerDesc,"改造されたミニガン。\n\n敵を炎上させることが出来ます。"

gunServiceRifleSchematic,サービス・ライフルの図
gunServiceRifleSchematicDesc,次の武器がクラフト可能になります : サービス・ライフル\n\nマシンガンナーのパークの影響を受けます。
gun10mmPistolSchematic,10mmピストルの図
gun10mmPistolSchematicDesc,次の武器がクラフト可能になります : 10mmピストル\n\nガンスリンガーのパークの影響を受けます。
gun10mmRevSchematic,10mmリボルバーの図
gun10mmRevSchematicDesc,次の武器がクラフト可能になります : 10mmリボルバー\n\nガンスリンガーのパークの影響を受けます。
gun10mmSMGSchematic,10mm SMGの図
gun10mmSMGSchematicDesc,次の武器がクラフト可能になります : 10mm SMG\n\nガンスリンガーのパークの影響を受けます。
gunLARSchematic,レバーアクション・ライフルの図
gunLARSchematicDesc,次の武器がクラフト可能になります : レバーアクション・ライフル\n\n射撃の名手のパークの影響を受けます。
gunHeavySniperSchematic,ヘビー・スナイパー・ライフルの図
gunHeavySniperSchematicDesc,次の武器がクラフト可能になります : ヘビー・スナイパー・ライフル\n\n射撃の名手のパークの影響を受けます。
gunRailwayRifleSchematic,レイルウェイ・ライフルの図
gunRailwayRifleSchematicDesc,次の武器がクラフト可能になります : レイルウェイ・ライフル\n\n高度エンジニアリングのパークの影響を受けます。
gunIncineratorSchematic,インシネレーターの図
gunIncineratorSchematicDesc,次の武器がクラフト可能になります : インシネレーター\n\n解体専門家のパークの影響を受けます。
gunTripleBarrelShotgunSchematic,トリプルバレル・ショットガンの図
gunTripleBarrelShotgunSchematicDesc,次の武器がクラフト可能になります : トリプルバレル・ショットガン\n\nブームスティックのパークの影響を受けます。
gunCombatShotgunSchematic,コンバット・ショットガンの図
gunCombatShotgunSchematicDesc,次の武器がクラフト可能になります : コンバット・ショットガン\n\nブームスティックのパークの影響を受けます。
gunLaserPistolSchematic,レーザー・ピストルの図
gunLaserPistolSchematicDesc,次の武器がクラフト可能になります : レーザー・ピストル\n\n高度エンジニアリングのパークの影響を受けます。
gunLaserRifleSchematic,レーザー・ライフルの図
gunLaserRifleSchematicDesc,次の武器がクラフト可能になります : レーザー・ライフル\n\n高度エンジニアリングのパークの影響を受けます。
gunLaserShotgunSchematic,レーザー・ショットガンの図
gunLaserShotgunSchematicDesc,次の武器がクラフト可能になります : レーザー・ショットガン\n\n高度エンジニアリングのパークの影響を受けます。
gunPlasmaPistolSchematic,プラズマ・ピストルの図
gunPlasmaPistolSchematicDesc,次の武器がクラフト可能になります : プラズマ・ピストル\n\n高度エンジニアリングのパークの影響を受けます。
gunPlasmaRifleSchematic,プラズマ・ライフルの図
gunPlasmaRifleSchematicDesc,次の武器がクラフト可能になります : プラズマ・ライフル\n\n高度エンジニアリングのパークの影響を受けます。
gunBAR1Schematic,BARの図
gunBAR1SchematicDesc,次の武器がクラフト可能になります :  BAR\n\nマシンガンナーのパークの影響を受けます。
gunSCARSchematic,SCARの図
gunSCARSchematicDesc,次の武器がクラフト可能になります :  SCAR\n\nマシンガンナーのパークの影響を受けます。
gunMiniGSchematic,ミニガンの図
gunMiniGSchematicDesc,次の武器がクラフト可能になります :  ミニガン\n\nマシンガンナーのパークの影響を受けます。
gunm79Schematic,M-79の図
gunm79SchematicDesc,次の武器がクラフト可能になります :  M-79\n\n解体専門家のパークの影響を受けます。
gunLaserPistolScrapSchematic,スクラップレーザー・ピストルの図
gunLaserPistolScrapSchematicDesc,次の武器がクラフト可能になります :  スクラップレーザー・ピストル\n\n高度エンジニアリングのパークの影響を受けます。

modOverchargedCapacitorSchematic,オーバーチャージ・コンデンサの図
modLaserSplitterSchematic,レーザービームスプリッターの図
modLaserFocuserSchematic,レーザービームフォーカサーの図
modLaserScopeSchematic,レーザーライフルスコープの図
cntVTstorageSecurePlayerSchematic,ヴォルトテック・ストレージの図
cntVTstorageTallSecurePlayerSchematic,ヴォルトテック・ストレージ2の図

meleeBanjo,バンジョー
meleeBanjoDesc,打撃武器として使えそうです。
meleeBaton,警棒
meleeBatonDesc,シンプルな近接武器。
meleeCleaver,包丁
meleeCleaverDesc,シンプルな近接武器。
meleeCrowbar,バール
meleeCrowbarDesc,シンプルな近接武器。
